conflictid,dyadid,org,sideaname,sideaid,sideacomponents,sidebname,sidebid,sidebcomponents,startdate,startprec,startdate2,startprec2,epend,ependdate,ependprec,year,fatbest,fatlow,fathigh,location,gwnoloc,region,version
4618,5228,1,FRCI,558,,MILOCI ,652,,2005-02-28,1,2005-02-28,1,1,2005-02-28,1,2005,28,28,50,Ivory Coast,437,4,17.1
4619,5229,1,Forces of Abdul Rahman Khan ,375,,Forces of Amanullah,376,,2003-08-13,1,2003-08-13,1,1,2003-08-13,1,2003,25,20,30,Afghanistan,700,3,17.1
4620,5230,1,Forces of Abdullahi Yusuf,568,,Forces of Jama Ali Jama,627,,2001-11-21,1,2002-08-02,1,1,2002-12-27,1,2002,70,68,238,Somalia,520,4,17.1
4621,5231,1,Forces of Amanullah Khan ,377,,Forces of Arbab Basir,378,,2006-10-09,2,2006-10-22,1,1,2006-10-22,1,2006,36,36,36,Afghanistan,700,3,17.1
4622,5232,1,Forces of Amanullah Khan ,377,,Forces of Ismail Khan ,379,,2002-07-23,2,2002-08-01,2,1,2002-12-02,2,2002,110,90,162,Afghanistan,700,3,17.1
4622,5232,1,Forces of Amanullah Khan ,377,,Forces of Ismail Khan ,379,,2002-07-23,2,2004-08-16,2,1,2004-08-16,2,2004,42,42,100,Afghanistan,700,3,17.1
4624,5234,3,Fulani,607,,Yugur,702,,2003-03-02,2,2003-03-02,2,1,2003-03-02,2,2003,100,100,110,Nigeria,475,4,17.1
4625,5235,3,Fulani,607,,Mambila,643,,2002-01-08,3,2002-01-08,3,1,2002-01-08,3,2002,50,30,50,Nigeria,475,4,17.1
4626,5236,3,Gaadsan subclan of Biimaal clan (Dir),897,,Ma'alin Weyne subclan of Mirifle clan (Digil-Mirifle),898,,2008-04-28,1,2008-05-31,3,1,2008-12-05,1,2008,40,38,62,Somalia,520,4,17.1
4627,5237,3,Gabra,609,,Guji,613,,2005-04-03,1,2005-04-29,1,1,2005-04-29,1,2005,43,43,43,Ethiopia,530,4,17.1
4628,5238,3,Galje'el clan (Hawiye),610,,Jejele subclan of Jibedi clan (Hawiye),631,,2005-06-07,2,2005-06-09,1,1,2005-06-09,1,2005,36,36,36,Somalia,520,4,17.1
4629,5239,3,Gamai,611,,Pan,666,,2006-04-13,2,2006-04-13,2,1,2006-04-13,2,2006,25,20,100,Nigeria,475,4,17.1
4630,5240,3,Garre subclan of Digil clan (Digil-Mirifle),612,,Marehan subclan of Sede clan (Darod),644,,2005-04-10,2,2005-04-18,1,1,2005-07-23,2,2005,99,89,139,Somalia,520,4,17.1
4631,5241,3,Garre subclan of Digil clan (Digil-Mirifle),612,,Murule subclan of Gugundabe clan (Hawiye),656,,2005-01-01,1,2005-01-11,3,1,2005-04-04,1,2005,63,60,105,Kenya,501,4,17.1
4631,5241,3,Garre subclan of Digil clan (Digil-Mirifle),612,,Murule subclan of Gugundabe clan (Hawiye),656,,2005-01-01,1,2008-10-14,2,1,2008-10-16,1,2008,31,31,31,Kenya,501,4,17.1
4632,5242,3,Gumuz,899,,Oromo,664,,2007-09-30,5,2008-05-21,2,1,2008-05-21,2,2008,145,145,145,Ethiopia,530,4,17.1
4633,5243,3,Falata,691,,Habaniya ,615,,2007-01-31,3,2007-01-31,3,0,,,2007,125,125,200,Sudan,625,4,17.1
4633,5243,3,Falata,691,,Habaniya ,615,,2007-01-31,3,2007-01-31,3,0,,,2008,150,150,150,Sudan,625,4,17.1
4633,5243,3,Falata,691,,Habaniya ,615,,2007-01-31,3,2007-01-31,3,1,2009-04-19,1,2009,99,99,108,Sudan,625,4,17.1
4634,5244,3,Habaniya ,615,,Rizeigat Baggara,703,,2006-07-20,3,2006-07-20,3,1,2006-07-20,3,2006,150,150,150,Sudan,625,4,17.1
4634,5244,3,Habaniya ,615,,Rizeigat Baggara,703,,2006-07-20,3,2015-07-16,2,1,2015-07-16,2,2015,198,198,198,Sudan,625,4,17.1
4635,5245,3,Hausa,608,,Igbo,621,,2000-02-28,1,2000-02-28,1,1,2000-02-28,1,2000,50,50,450,Nigeria,475,4,17.1
4636,5246,3,Hausa,608,,Tarok,689,,2002-07-07,1,2002-07-10,1,1,2002-10-04,2,2002,35,25,35,Nigeria,475,4,17.1
4637,5247,3,Hausa,608,,Yoruba,701,,1998-07-13,2,1998-07-13,2,0,,,1998,60,60,100,Nigeria,475,4,17.1
4637,5247,3,Hausa,608,,Yoruba,701,,1998-07-13,2,1998-07-13,2,1,1999-07-25,2,1999,93,93,133,Nigeria,475,4,17.1
4637,5247,3,Hausa,608,,Yoruba,701,,1998-07-13,2,2002-02-05,2,1,2002-02-05,2,2002,100,50,100,Nigeria,475,4,17.1
4638,5248,3,Hema,616,,Lendu,638,,1999-05-14,1,1999-06-20,1,0,,,1999,1405,1405,6405,DR Congo (Zaire),490,4,17.1
4638,5248,3,Hema,616,,Lendu,638,,1999-05-14,1,1999-06-20,1,0,,,2000,656,656,656,DR Congo (Zaire),490,4,17.1
4638,5248,3,Hema,616,,Lendu,638,,1999-05-14,1,1999-06-20,1,0,,,2001,474,474,524,DR Congo (Zaire),490,4,17.1
4638,5248,3,Hema,616,,Lendu,638,,1999-05-14,1,1999-06-20,1,0,,,2002,1946,1916,2343,DR Congo (Zaire),490,4,17.1
4638,5248,3,Hema,616,,Lendu,638,,1999-05-14,1,1999-06-20,1,1,2003-10-31,3,2003,258,189,959,DR Congo (Zaire),490,4,17.1
4639,5249,1,Hezbollah,366,,PSP,879,,2008-05-09,1,2008-05-21,3,1,2008-05-27,1,2008,38,23,64,Lebanon,660,2,17.1
4640,5250,3,Hotiya Baggara ,617,,"Mahamid, Mahariba, Newiba",3834,"658, 661, 662",2005-12-31,5,2005-12-31,5,1,2005-12-31,5,2005,251,210,260,Sudan,625,4,17.1
4641,5251,3,Huaorani,773,,Tagaeri ,780,,2003-05-27,1,2003-05-27,1,1,2003-05-27,1,2003,26,15,31,Ecuador,130,5,17.1
4642,5252,3,Huber subclan of Mirifle clan (Digil-Mirifle),618,,Yantar subclan of Mirifle clan (Digil-Mirifle),700,,2005-08-12,1,2005-08-15,2,1,2005-08-19,1,2005,35,35,38,Somalia,520,4,17.1
4643,5253,3,Ijaw,622,,Itsekiri,625,,1997-03-30,2,1997-04-12,1,0,,,1997,418,418,418,Nigeria,475,4,17.1
4643,5253,3,Ijaw,622,,Itsekiri,625,,1997-03-30,2,1997-04-12,1,0,,,1998,25,25,36,Nigeria,475,4,17.1
4643,5253,3,Ijaw,622,,Itsekiri,625,,1997-03-30,2,1997-04-12,1,1,1999-06-30,5,1999,120,120,200,Nigeria,475,4,17.1
4643,5253,3,Ijaw,622,,Itsekiri,625,,1997-03-30,2,2003-07-25,1,1,2003-12-18,1,2003,105,105,136,Nigeria,475,4,17.1
4644,5254,1,IMU,359,,Lashkhar of Wazir tribe,787,,2007-03-06,1,2007-03-19,1,1,2007-09-02,1,2007,319,319,376,Pakistan,770,3,17.1
4645,5255,1,IS,234,,RJF,235,,2007-05-13,1,2007-05-31,2,1,2007-11-10,2,2007,123,123,123,Iraq,645,2,17.1
4646,5256,3,Izzi ,626,,Ukele,694,,2005-04-25,3,2005-04-25,3,1,2005-04-25,3,2005,100,50,100,Nigeria,475,4,17.1
4647,5257,1,Forces of Shah Sahib,792,,TTP,356,,2008-07-16,1,2008-07-19,1,1,2008-07-19,1,2008,51,51,66,Pakistan,770,3,17.1
4648,5258,1,Janjaweed ,630,,JEM,468,,2003-11-26,1,2003-11-26,1,1,2003-11-26,1,2003,186,186,186,Sudan,625,4,17.1
4649,5259,1,Janjaweed ,630,,SLM/A,469,,2005-01-30,1,2005-04-20,3,1,2005-04-20,3,2005,30,30,30,Sudan,625,4,17.1
4650,5260,1,Janjaweed - Bin Kulaib faction,629,,Janjaweed - Moro faction,628,,2005-11-30,3,2005-11-30,3,1,2005-11-30,3,2005,44,44,44,Sudan,625,4,17.1
4651,5261,3,Jie,633,,Turkana,693,,1999-07-10,2,1999-07-10,2,1,1999-07-10,2,1999,40,40,40,Kenya,501,4,17.1
4651,5261,3,Jie,633,,Turkana,693,,1999-07-10,2,2008-01-24,1,1,2008-02-10,1,2008,57,57,57,Kenya,501,4,17.1
4652,5262,1,Juarez Cartel,793,,Sinaloa Cartel,775,,2004-01-25,2,2004-08-15,2,1,2004-09-12,1,2004,61,61,61,Mexico,70,5,17.1
4652,5262,1,Juarez Cartel,793,,Sinaloa Cartel,775,,2004-01-25,2,2008-03-28,3,0,,,2008,1580,1580,1580,Mexico,70,5,17.1
4652,5262,1,Juarez Cartel,793,,Sinaloa Cartel,775,,2004-01-25,2,2008-03-28,3,0,,,2009,2063,2063,2063,Mexico,70,5,17.1
4652,5262,1,Juarez Cartel,793,,Sinaloa Cartel,775,,2004-01-25,2,2008-03-28,3,0,,,2010,2515,2514,2779,Mexico,70,5,17.1
4652,5262,1,Juarez Cartel,793,,Sinaloa Cartel,775,,2004-01-25,2,2008-03-28,3,0,,,2011,1658,1658,1852,Mexico,70,5,17.1
4652,5262,1,Juarez Cartel,793,,Sinaloa Cartel,775,,2004-01-25,2,2008-03-28,3,0,,,2012,547,531,959,Mexico,70,5,17.1
4652,5262,1,Juarez Cartel,793,,Sinaloa Cartel,775,,2004-01-25,2,2008-03-28,3,0,,,2013,127,121,453,Mexico,70,5,17.1
4652,5262,1,Juarez Cartel,793,,Sinaloa Cartel,775,,2004-01-25,2,2008-03-28,3,0,,,2014,49,49,56,Mexico,70,5,17.1
4652,5262,1,Juarez Cartel,793,,Sinaloa Cartel,775,,2004-01-25,2,2008-03-28,3,0,,,2015,38,38,946,Mexico,70,5,17.1
4652,5262,1,Juarez Cartel,793,,Sinaloa Cartel,775,,2004-01-25,2,2008-03-28,3,-99,,,2016,59,59,59,Mexico,70,5,17.1
4653,5263,1,JVA,634,,JVA faction,788,,2002-06-02,2,2003-10-28,2,1,2003-10-28,2,2003,25,25,110,Somalia,520,4,17.1
4654,5264,1,Forces of General Morgan,1082,,JVA,634,,1999-01-06,1,1999-01-06,1,1,1999-08-12,1,1999,78,78,82,Somalia,520,4,17.1
4654,5264,1,Forces of General Morgan,1082,,JVA,634,,1999-01-06,1,2004-09-20,2,1,2004-09-20,2,2004,37,37,112,Somalia,520,4,17.1
4655,5265,3,Kachai sub-tribe of Bangesh,794,,Mishti,795,,2008-03-22,1,2008-03-28,2,1,2008-03-28,2,2008,58,58,58,Pakistan,770,3,17.1
4656,5266,3,Kalenjin,1024,,Kikuyu,926,,1991-12-27,1,1992-12-13,2,0,,,1992,42,42,90,Kenya,501,4,17.1
4656,5266,3,Kalenjin,1024,,Kikuyu,926,,1991-12-27,1,1992-12-13,2,0,,,1993,35,12,35,Kenya,501,4,17.1
4656,5266,3,Kalenjin,1024,,Kikuyu,926,,1991-12-27,1,1992-12-13,2,1,1994-03-31,3,1994,28,28,46,Kenya,501,4,17.1
4656,5266,3,Kalenjin,1024,,Kikuyu,926,,1991-12-27,1,1998-01-24,3,1,1998-01-25,1,1998,127,127,127,Kenya,501,4,17.1
4656,5266,3,Kalenjin,1024,,Kikuyu,926,,1991-12-27,1,2008-01-21,3,1,2008-12-31,5,2008,78,78,95,Kenya,501,4,17.1
4657,5267,3,Kalenjin,1024,,Kisii,927,,2008-02-03,1,2008-02-05,1,1,2008-02-05,1,2008,81,81,81,Kenya,501,4,17.1
4658,5268,3,Kusasi,1057,,Mamprusi,1058,,2000-12-09,2,2000-12-09,2,0,,,2000,30,7,68,Ghana,452,4,17.1
4658,5268,3,Kusasi,1057,,Mamprusi,1058,,2000-12-09,2,2000-12-09,2,1,2001-12-04,2,2001,50,50,50,Ghana,452,4,17.1
4658,5268,3,Kusasi,1057,,Mamprusi,1058,,2000-12-09,2,2008-06-21,1,1,2008-06-27,2,2008,55,54,57,Ghana,452,4,17.1
4659,5269,1,Lashkar of Salarzai tribe,796,,TTP,356,,2008-08-28,1,2008-10-01,1,1,2008-10-04,1,2008,34,34,40,Pakistan,770,3,17.1
4660,5270,3,Lou Nuer,706,,Murle,655,,2006-05-31,5,2006-05-31,5,0,,,2006,150,150,150,Sudan,625,4,17.1
4660,5270,3,Lou Nuer,706,,Murle,655,,2006-05-31,5,2006-05-31,5,1,2007-08-15,5,2007,60,60,80,Sudan,625,4,17.1
4660,5270,3,Lou Nuer,706,,Murle,655,,2006-05-31,5,2009-03-13,3,1,2009-08-02,1,2009,1195,1195,1195,Sudan,625,4,17.1
4660,5270,3,Lou Nuer,706,,Murle,655,,2006-05-31,5,2011-04-24,2,0,,,2011,1415,1415,1425,"South Sudan, Sudan","626, 625",4,17.1
